Year,State_Name,County_Name,Total,Pop,Coke,Soda,Pop,Coke,Soda,pop coke or soda,,
2003,AK,Aleutians East,1,0,1,0,0,1,0,5,,
2003,AK,Aleutians West,1,0,1,0,0,1,0,5,,
2003,AK,Anchorage,120,38,9,68,0.316666667,0.075,0.566666667,6.566666667,,
2003,AK,Bethel,1,0,1,0,0,1,0,5,,
2003,AK,Bristol Bay,2,1,0,1,0.5,0,0.5,0,,
2003,AK,Dillingham,1,0,0,0,0,0,0,0,,
2003,AK,Fairbanks North Star,38,19,2,15,0.5,0.052631579,0.394736842,2.5,,
2003,AK,Haines,1,1,0,0,1,0,0,3,,
2003,AK,Juneau,24,11,2,9,0.458333333,0.083333333,0.375,2.458333333,,
2003,AK,Kenai Peninsula,20,11,1,6,0.55,0.05,0.3,2.55,,
2003,AK,Ketchikan Gateway,6,6,0,0,1,0,0,3,,
2003,AK,Kodiak Island,3,0,0,2,0,0,0.666666667,6.666666667,,
2003,AK,Lake and Peninsula,0,0,0,0,0,0,0,0,,
2003,AK,Matanuska-Susitna,20,5,2,10,0.25,0.1,0.5,6.5,,
2003,AK,Nome,3,1,0,2,0.333333333,0,0.666666667,6.666666667,,
2003,AK,North Slope,4,0,0,2,0,0,0.5,6.5,,
2003,AK,Northwest Arctic,4,4,0,0,1,0,0,3,,
2003,AK,Prince of Wales-Outer Ketchikan,2,2,0,0,1,0,0,3,,
2003,AK,Sitka,4,3,0,1,0.75,0,0.25,2.75,,
2003,AK,Skagway-Yakutat-Angoon,1,0,0,1,0,0,1,7,,
2003,AK,Southeast Fairbanks,2,1,0,1,0.5,0,0.5,0,,
2003,AK,Valdez-Cordova,8,5,0,2,0.625,0,0.25,2.625,,
2003,AK,Wade Hampton,2,1,0,1,0.5,0,0.5,0,,
2003,AK,Wrangell-Petersburg,3,3,0,0,1,0,0,3,,
2003,AK,Yukon-Koyukuk,4,4,0,0,1,0,0,3,,
2003,AL,Autauga,9,0,7,1,0,0.777777778,0.111111111,4.777777778,,
2003,AL,Baldwin,33,0,31,2,0,0.939393939,0.060606061,4.939393939,,
2003,AL,Barbour,8,0,7,1,0,0.875,0.125,4.875,,
2003,AL,Bibb,4,0,3,1,0,0.75,0.25,4.75,,
2003,AL,Blount,8,0,6,2,0,0.75,0.25,4.75,,
2003,AL,Bullock,1,0,1,0,0,1,0,5,,
2003,AL,Butler,3,0,3,0,0,1,0,5,,
2003,AL,Calhoun,34,0,27,4,0,0.794117647,0.117647059,4.794117647,,
2003,AL,Chambers,5,0,5,0,0,1,0,5,,
2003,AL,Cherokee,1,0,1,0,0,1,0,5,,
2003,AL,Chilton,5,0,4,0,0,0.8,0,4.8,,
2003,AL,Choctaw,2,0,2,0,0,1,0,5,,
2003,AL,Clarke,3,0,3,0,0,1,0,5,,
2003,AL,Clay,2,0,2,0,0,1,0,5,,
2003,AL,Cleburne,0,0,0,0,0,0,0,0,,
2003,AL,Coffee,10,1,7,2,0.1,0.7,0.2,4.7,,
2003,AL,Colbert,10,0,9,1,0,0.9,0.1,4.9,,
2003,AL,Conecuh,0,0,0,0,0,0,0,0,,
2003,AL,Coosa,0,0,0,0,0,0,0,0,,
2003,AL,Covington,10,0,8,0,0,0.8,0,4.8,,
2003,AL,Crenshaw,3,0,2,0,0,0.666666667,0,4.666666667,,
2003,AL,Cullman,18,0,17,0,0,0.944444444,0,4.944444444,,
2003,AL,Dale,12,0,11,1,0,0.916666667,0.083333333,4.916666667,,
2003,AL,Dallas,9,0,7,1,0,0.777777778,0.111111111,4.777777778,,
2003,AL,De Kalb,12,0,11,1,0,0.916666667,0.083333333,4.916666667,,
2003,AL,Elmore,16,0,14,1,0,0.875,0.0625,4.875,,
2003,AL,Escambia,7,0,7,0,0,1,0,5,,
